名称,来源,页码,环阶,施法时间,持续时间,学派,范围,成分,职业,可选/变体 职业,子职,文本,升环施法
七彩喷射,PHB'24,251,1环,动作,立即,幻术,自身,"声音, 姿势, 材料 (一撮彩色沙子)","吟游诗人 (PHB'24), 术士 (PHB'24), 法师 (PHB'24)",,"奥法骑士 (PHB'14) 战士, 奥法骑士 (PHB'24) 战士, 幻术师 (PHB'24) 法师, 诡术师 (PHB'14) 游荡者, 诡术师 (PHB'24) 游荡者, 逸闻 (PHB'14) 吟游诗人, 逸闻 (PHB'24) 吟游诗人",你射出一道炫目的闪耀彩光。以你为源点的 15 尺锥状区域内的每名生物必须成功通过一次体质豁免，否则陷入目盲状态，持续至你的下一回合结束。,
万箭齐发,PHB'24,255,5环,动作,立即,咒法,150 尺,"声音, 姿势, 材料 (一把价值 1+CP 的近战或远程武器)",游侠 (PHB'24),,,你挥舞作为施法材料的武器并选择施法距离内一点。数以百计相似的幽灵武器（或是适合这把武器的弹药）齐射而出，并在之后消失。以那一点为中心，半径 40 尺、高 20 尺的柱状区域内的每名由你选择且你可见的生物进行一次敏捷豁免检定，豁免失败者将受到8d8力场伤害，豁免成功则受到半数伤害。,
不灭明焰,PHB'24,256,2环,动作,直到 解除,塑能,触及,"声音, 姿势, 材料 (价值 50+GP 的红宝石尘，作为法术耗材)","奇械师 (EFA), 德鲁伊 (PHB'24), 法师 (PHB'24), 牧师 (PHB'24)",,"塑能师 (PHB'24) 法师, 奥法骑士 (PHB'14) 战士, 奥法骑士 (PHB'24) 战士, 神圣之魂 (XGE) 术士, 神圣之魂 (XGE) 术士, 诡术师 (PHB'14) 游荡者, 诡术师 (PHB'24) 游荡者, 逸闻 (PHB'14) 吟游诗人, 逸闻 (PHB'24) 吟游诗人",你所触碰的物件上冒出火焰。这一效应发出半径 20 尺的明亮光照光照以及额外 20 尺的微光光照光照。法术效应看上去与一般火焰无异，不过其并不会发热，也不需要燃料。你可以掩盖或隐藏火焰，但无法将其闷熄或扑灭。,
不谐低语,PHB'24,264,1环,动作,立即,惑控,60 尺,声音,吟游诗人 (PHB'24),,"旧日支配者 (PHB'24) 魔契师, 畸变 (PHB'24) 术士, 逸闻 (PHB'14) 吟游诗人",一名施法距离内你选择的可见生物的心灵中听见一段不协和旋律。目标进行一次感知豁免。豁免失败则受到3d6点心灵伤害，并立即执行其反应（若可用）尽可能往远离你的方向移动，并采取最安全的路径。豁免成功则受到半数伤害。,升环施法 Using a Higher-Level Spell Slot. 你使用的法术位每比一环高一环，此法术的伤害就会提升1d6。
云雾术,PHB'24,276,1环,动作,"专注, 至多1 小时",咒法,120 尺,"声音, 姿势","德鲁伊 (PHB'24), 术士 (PHB'24), 法师 (PHB'24), 游侠 (PHB'24)",,"大地 (极地) (PHB'24) 德鲁伊, 奥法骑士 (PHB'14) 战士, 奥法骑士 (PHB'24) 战士, 海洋 (PHB'24) 德鲁伊, 诡术师 (PHB'14) 游荡者, 诡术师 (PHB'24) 游荡者, 逸闻 (PHB'14) 吟游诗人, 逸闻 (PHB'24) 吟游诗人",你以施法距离内一点为中心创造一片半径 20 尺的球状浓雾。该球状区域被重度遮蔽。浓雾持续至法术持续时间结束，被强风（比如造风术创造的风）吹散时法术也将提前结束。,升环施法 Using a Higher-Level Spell Slot. 使用的法术位每比一环高一环，浓雾的半径就增加 20 尺。
亡灵召唤术,PHB'24,328,3环,动作,"专注, 至多1 小时",死灵,90 尺,"声音, 姿势, 材料 (一个价值 300+GP 的镀金头骨)","法师 (PHB'24), 魔契师 (PHB'24)",,"奥法骑士 (PHB'14) 战士, 奥法骑士 (PHB'24) 战士, 诡术师 (PHB'14) 游荡者, 诡术师 (PHB'24) 游荡者, 逸闻 (PHB'14) 吟游诗人, 逸闻 (PHB'24) 吟游诗人","你唤来一个亡灵灵魄。其使用下文亡灵灵魄的数据，并会在施法距离内一处你可见的未被占据的空间中显现。当你施展法术时，从幽体，腐尸，骷髅中选择一类，该生物会显现为你所选的那类形态的亡灵生物，其数据中的部分特性也受此影响。该生物会在生命值降为 0 或是法术结束时消失。

该生物是你和你盟友的盟友。它在战斗中使用你的先攻，并在你回合结束后立即执行其回合。它遵从于你的口头指令（无需任何动作）。如果你不发令，它将执行回避动作并使用其移动力以远离危险。",升环施法 Using a Higher-Level Spell Slot. 该生物的数据使用新的法术环阶。
亡者丧钟,PHB'24,334,戏法,动作,立即,死灵,60 尺,"声音, 姿势","法师 (PHB'24), 牧师 (PHB'24), 魔契师 (PHB'24)",,"奥法骑士 (PHB'14) 战士, 奥法骑士 (PHB'24) 战士, 奥秘 (SCAG) 牧师, 奥秘 (SCAG) 牧师, 死亡 (DMG'14) 牧师, 死亡 (DMG'14) 牧师, 神圣之魂 (XGE) 术士, 神圣之魂 (XGE) 术士, 诡术师 (PHB'14) 游荡者, 诡术师 (PHB'24) 游荡者, 逸闻 (PHB'14) 吟游诗人, 逸闻 (PHB'24) 吟游诗人",你对着施法距离内一名你可见的生物一指，随后目标 10 尺内响起一阵哀恸的钟鸣。目标必须通过一次感知豁免，否则将受到1d8点暗蚀伤害。若目标豁免失败时已损失任意数量生命值，则改为令其受到1d12点暗蚀伤害。,戏法强化 Cantrip Upgrade. 到达特定等级后，此戏法的伤害骰将增加一枚：5 级（2d8或2d12）、11 级（3d8或3d12）、17 级（4d8或4d12）。
交友术,PHB'24,277,戏法,动作,"专注, 至多1 分钟",惑控,10 尺,"姿势, 材料 (一些化妆品)","吟游诗人 (PHB'24), 术士 (PHB'24), 法师 (PHB'24), 魔契师 (PHB'24)",,"奥法骑士 (PHB'14) 战士, 奥法骑士 (PHB'24) 战士, 奥秘 (SCAG) 牧师, 奥秘 (SCAG) 牧师, 诡术师 (PHB'14) 游荡者, 诡术师 (PHB'24) 游荡者, 逸闻 (PHB'14) 吟游诗人, 逸闻 (PHB'24) 吟游诗人","你魔法性地向施法距离内的一名可见生物散发出友谊感。目标必须成功于一次感知豁免，否则其在法术持续时间内陷入魅惑状态。若目标并非类人生物，或者你正在与其战斗，又或者你在过去 24 小时内曾对其施展过这道法术，则其进行的此次豁免自动成功。

若目标受到伤害，或你进行一次攻击检定、造成伤害、迫使任何人进行一次豁免，则法术会提早结束。法术结束时，目标会知道他曾被你魅惑。",
以太化,PHB'24,269,7环,动作,8 小时,咒法,自身,"声音, 姿势","吟游诗人 (PHB'24), 术士 (PHB'24), 法师 (PHB'24), 牧师 (PHB'24), 魔契师 (PHB'24)",,"奥秘 (SCAG) 牧师, 奥秘 (SCAG) 牧师, 神圣之魂 (XGE) 术士, 神圣之魂 (XGE) 术士","你进入当前所处位面与以太位面Ethereal Plane边缘的重叠空间。你在法术持续时间内一直呆在该以太边界Border Ethereal。在此期间，你可以向任意方向移动。如果你向上或向下移动，则你移动的每尺距离需要额外消耗一尺的移动力。你可以观察原位面，但是所有事物都以灰度显示，而你也看不到 60 尺外的东西。

处于以太位面期间，只有同样处在以太位面的其他生物、物件和效应才能被你影响或影响你。不在以太位面的生物无法察觉你，也无法与你互动，除非有一项特性允许他们这么做。

法术终止时，你立刻回到原本所在的位面中与以太边界中你所处位置相对应的空间位置。若你出现于一处被占空间，则你立刻被弹到最靠近的一处未占空间中，并受到两倍于你因此被移动尺数点的力场伤害。

如果你在施展法术时正处于以太位面，或所在位面与以太位面不相连（比如某个外层位面Outer Plane），则法术立即结束。",升环施法 Using a Higher-Level Spell Slot. 使用的法术位每比七环高一环，你就可以指定至多三名自愿生物（包括你在内）。所有所选生物在你施法时必须距你 10 尺内。
任意门,PHB'24,262,4环,动作,立即,咒法,500 尺,声音,"吟游诗人 (PHB'24), 术士 (PHB'24), 法师 (PHB'24), 魔契师 (PHB'24)",,"复仇 (PHB'24) 圣武士, 奥法骑士 (PHB'24) 战士, 奥法骑士 (PHB'14) 战士, 妖精漫游者 (PHB'24) 游侠, 诡术师 (PHB'24) 游荡者, 诡术师 (PHB'14) 游荡者, 诡术 (PHB'24) 牧师","你将传送至施法距离内的一处地点。你会准确到达该目的地。法术的目的地可以是你能看见的、可想象的地点，也可以是通过距离和方向说明的地点，比如""径直向下 200 尺""，""西北偏上 45 度 300 尺""。

你还可以带上一名自愿生物一同传送。该生物在你传送时必须距你 5 尺内，且其传送终点也位于你所选目的地的 5 尺内。

如果你、你携带的生物、或两者均将被传送至一处已被一名生物占据、或被一个或更多物件填满的空间中，则你和任何与你一起传送的生物都将受到4d6点力场伤害，且传送失败。",
