名称,来源,页码,Rarity,Type,Attunement,Damage,Properties,Mastery,Weight,Value,Text
+1 三叉戟,DMG'24,324,uncommon,"武器 (三叉戟), 军用武器, 近战武器",,1d8 穿刺,"多用 (1d10), 投掷 (20/60 尺)",精通: 失衡,4 磅,,"使用这把魔法武器进行攻击和伤害判定时，你会获得+1的额外加成。

投掷 Thrown. 如果一把武器具有投掷属性，你可以把它投掷出去来发动一次远程攻击。同时，拔出这把武器可以视作这次攻击的一部分。如果投掷出去的武器是一把近战武器，则你在攻击检定和伤害掷骰中使用与你用其发动近战攻击时相同的属性调整值。

多用 Versatile. 多用武器可以单手使用也可以双手使用。该词条后将跟随一个括号，其内的伤害数值即为双手持用该武器进行近战攻击时的伤害。

精通: 失衡. 如果你用此武器击中一个生物，你可以迫使该生物进行一次体质豁免检定（DC 8 加上用于进行攻击掷骰的能力调整值以及你的熟练加值）。豁免失败时，该生物获得倒地状态。"
+1 伊库瓦短矛,DMG'24,324,uncommon,"武器 (伊库瓦短矛), 简易武器, 近战武器",,1d8 穿刺,投掷 (10/30\xa0尺),,3 磅,,"此武器的基础版本请查阅《湮灭之墓》第32页。

使用这把魔法武器进行攻击和伤害判定时，你会获得+1的额外加成。

伊克瓦（发音为YICK-ul-wah）是一种简单的近战武器，是楚尔坦战士的传统武器。伊克瓦由一根3尺长的木柄和一把长达18英寸的钢制或石制刀片组成。尽管它具有投掷武器的特性，但伊克瓦并不适合投掷。

投掷 Thrown. 具有投掷属性的武器可以用来发动一次投掷的远程攻击。如果该武器是一把近战武器，则你以其进行近战攻击时，加于攻击检定和伤害掷骰中的属性调整值同样适用于以其进行的远程攻击。例如，投掷一把手斧时，你使用力量调整值；而投掷一把匕首时，由于其具有灵巧属性，你可以选择使用力量调整值或敏捷调整值。"
+1 兽皮甲,DMG'24,230,rare,中甲 (兽皮甲),,AC 12 + 敏捷 (最大 2),,,12 磅,,穿戴这件护甲时，你的AC有+1的加值。
+1 刺剑,DMG'24,324,uncommon,"武器 (刺剑), 军用武器, 近战武器",,1d8 穿刺,灵巧,精通: 侵扰,2 磅,,"使用这把魔法武器进行攻击和伤害判定时，你会获得+1的额外加成。

灵巧 Finesse. 使用一把灵巧武器发动攻击时，你可以自由选择此次攻击检定与伤害掷骰使用力量调整值还是敏捷调整值。但是攻击检定与伤害掷骰必须使用同一个调整值。

精通: 侵扰. 当你用这把武器命中一个生物并对其造成伤害时，直到你的下一回合结束前，你对该生物的下一次攻击检定将具有优势。"
+1 匕首,DMG'24,324,uncommon,"武器 (匕首), 简易武器, 近战武器",,1d4 穿刺,"投掷 (20/60 尺), 灵巧, 轻型",精通: 迅击,1 磅,,"使用这把魔法武器进行攻击和伤害判定时，你会获得+1的额外加成。

灵巧 Finesse. 使用一把灵巧武器发动攻击时，你可以自由选择此次攻击检定与伤害掷骰使用力量调整值还是敏捷调整值。但是攻击检定与伤害掷骰必须使用同一个调整值。

轻型 Light. 当你在自己回合中执行攻击动作，并用一把轻型武器发动一次攻击后，你可以在同一回合中用附赠动作发动一次额外的攻击。这次额外的攻击你必须使用另一把轻型武器发动，并且这次攻击的伤害无法加入你的属性调整值（除非该调整值为负数）。例如，若你在你的回合中执行了攻击动作，一只手手持短剑，另一只手手持匕首，而这两把武器均有轻型词条，则你可以使用你的动作和附赠动作，来用这两把武器各发动一次攻击。但你不能将力量或敏捷调整值加入附赠动作攻击武器的造成的伤害中（除非该调整值为负数）。

投掷 Thrown. 如果一把武器具有投掷属性，你可以把它投掷出去来发动一次远程攻击。同时，拔出这把武器可以视作这次攻击的一部分。如果投掷出去的武器是一把近战武器，则你在攻击检定和伤害掷骰中使用与你用其发动近战攻击时相同的属性调整值。

精通: 迅击. 当你进行轻型属性的额外攻击时，你可以将其作为攻击动作的一部分进行，而不是作为附赠动作。每个回合中你只能进行这一次额外攻击。"
+1 半自动手枪,DMG'24,324,uncommon,"武器 (半自动手枪), 现代, 军用武器, 远程武器, 枪械",,2d6 穿刺,"弹容 (15 发), 弹药 (50/150\xa0尺; 枪械子弹)",精通: 侵扰,3 磅,,"使用这把魔法武器进行攻击和伤害判定时，你会获得+1的额外加成。

射程 Range. 远程武器在弹药或投掷属性后的括号内有一个射程。射程列出了两个数字。第一个是武器的正常射程（以英尺为单位），第二个是武器的长射程。当攻击超出正常射程的目标时，你在攻击检定上具有劣势。你不能攻击超出长射程的目标。

弹药 Ammunition. 现代火器使用后，子弹即被销毁。未来式枪械使用的是能量单元，这些能量单元在耗尽时可能通过适当的设备进行再充电，具体由游戏主持人决定。

弹容 Reload. 你可以使用重新装填武器进行有限次数的射击。然后，你必须以一个动作或附赠动作的方式重新装填武器。

精通: 侵扰. 当你用这把武器命中一个生物并对其造成伤害时，直到你的下一回合结束前，你对该生物的下一次攻击检定将具有优势。"
+1 半身板甲,DMG'24,230,rare,中甲 (半身板甲),,AC 15 + 敏捷 (最大 2),,,40 磅,,"穿戴这件护甲时，你的AC有+1的加值。

穿戴者在敏捷(隐匿)检定上具有劣势。"
+1 双刃弯刀,DMG'24,324,uncommon,"武器 (双刃弯刀), 军用武器, 近战武器",,2d4 挥砍,"双手, 特殊",,6 磅,,"此武器的基础版本请查阅《艾伯伦：从终末战争中崛起》第21页。

使用这把魔法武器进行攻击和伤害判定时，你会获得+1的额外加成。

特殊 Special. 如果你在你的回合使用双刃弯刀作为攻击动作的一部分进行攻击，你可以在之后立即使用一个奖励动作用它进行近战攻击。这次攻击在命中时造成1d4点挥砍伤害，而不是2d4。

双手 Two-Handed. 用该武器攻击时你需要双手并用。这个特性仅在你用武器攻击时生效，仅仅持有它时不要求双手。"
+1 反物质步枪,DMG'24,324,uncommon,"武器 (反物质步枪), 未来, 军用武器, 远程武器, 枪械",,6d8 黯蚀,"双手, 弹容 (2 发), 弹药 (120/360\xa0尺; 能量电池)",精通: 削弱,10 磅,,"使用这把魔法武器进行攻击和伤害判定时，你会获得+1的额外加成。

射程 Range. 远程武器在弹药或投掷属性后的括号内有一个射程。射程列出了两个数字。第一个是武器的正常射程（以英尺为单位），第二个是武器的长射程。当攻击超出正常射程的目标时，你在攻击检定上具有劣势。你不能攻击超出长射程的目标。

弹药 Ammunition. 现代火器使用后，子弹即被销毁。未来式枪械使用的是能量单元，这些能量单元在耗尽时可能通过适当的设备进行再充电，具体由游戏主持人决定。

弹容 Reload. 你可以使用重新装填武器进行有限次数的射击。然后，你必须以一个动作或附赠动作的方式重新装填武器。

双手 Two-Handed. 用双手武器攻击时，你需要双手并用。

精通: 削弱. 当你用这把武器命中一个生物时，直到你的下一回合开始前，该生物的下一次攻击检定将具有劣势。"
+1 吹箭筒,DMG'24,324,uncommon,"武器 (吹箭筒), 军用武器, 远程武器",,1 穿刺,"弹药 (射程 25/100\xa0尺; 针), 装填",精通: 侵扰,1 磅,,"使用这把魔法武器进行攻击和伤害判定时，你会获得+1的额外加成。

射程 Range. 远程武器在弹药或投掷属性后的括号内有一个射程。射程列出了两个数字。第一个是武器的正常射程（以英尺为单位），第二个是武器的长射程。当攻击超出正常射程的目标时，你在攻击检定上具有劣势。你不能攻击超出长射程的目标。

弹药 Ammunition. 使用具有弹药属性的武器发动远程攻击时，你必须拥有该武器需求的弹药。所需弹药的种类会与武器的射程写在一起。每次使用该武器攻击都会花费一枚弹药，且取出该弹药的行为视为此次攻击的一部分（你需要一只空手来为一把单手武器的弹药上膛或上弦）。在战斗结束后，你可以花费一分钟搜索战场，以回收你在战斗中所消耗的弹药的一半（向下取整），而剩下的那些弹药将会损失。

装填 Loading. 当你使用动作、附赠动作或反应来射击装填类武器时，你只能发射一枚弹药，不管你通常可以进行多少次攻击。

精通: 侵扰. 当你用这把武器命中一个生物并对其造成伤害时，直到你的下一回合结束前，你对该生物的下一次攻击检定将具有优势。"
