名称,来源,页码,体型,类型,阵营,AC,HP,速度,力量,敏捷,体质,智力,感知,魅力,豁免骰,技能,伤害易伤,伤害抗性,伤害免疫,状态免疫,感官,语言,CR,特质,动作,附赠动作,反应,传奇动作,神话动作,巢穴动作,区域效应,环境,宝藏
三角龙,MM'25,372,巨型,野兽 (恐龙),无阵营,14,114 (12d12 + 36),50 尺,22,9,17,2,11,5,,,,,,,被动察觉 10,—,"5 (XP 1,800; PB +3)",,"多重攻击 Multiattack. 三角龙发动两次顶撞攻击。

顶撞 Gore. 近战攻击检定: +9，触及 5 尺。命中: 19（2d12 + 6）穿刺伤害。若目标体型不超过巨型且三角龙在此次攻击前立即向着目标直线移动了 20+ 尺，则目标额外受到 9（2d8）穿刺伤害并陷入倒地状态。",,,,,,,草地,
不朽莲花僧,CM,165,中型,类人,,15 (无甲防御),65 (10d8 + 20),30 尺,12,16,14,11,14,10,,"特技 +6, 察觉 +5, 隐匿 +6",,,,,被动察觉 15,通用语,"5 (XP 1,800; PB +3)",无甲防御 Unarmored Defense. 当武僧没有穿戴盔甲且没有持盾时，其AC包含了其感知调整值。,"多重攻击 Multiattack. 武僧进行两次攻击。

力场打击 Force Strike. 近战武器攻击: 命中+6, 射程 5 尺, 单一目标. 命中: 7 (1d8 + 3) 点力场伤害, 且如果目标是生物, 它必须成功通过一次 DC 14 敏捷豁免否则被击倒 倒地.

飞镖 Dart. 远程武器攻击: 命中+6，射程 20/60 尺，单一目标。命中: 5点（1d4 + 3）点穿刺伤害。",,,,,,,,
不死之蔓生怪,WDMM,142,大型,亡灵,无阵营,15 (天生护甲),136 (16d10 + 48),"20 尺, 游泳 20 尺",18,8,16,5,10,5,,隐匿 +2,,"寒冷, 火焰","暗蚀, 毒素","中毒, 力竭, 目盲, 耳聋","盲视60尺（范围外视为目盲）, 被动察觉 10",—,"5 (XP 1,800; PB +3)",死灵吸收 Necrotic Absorption. 每当蔓生怪受到暗蚀伤害时，它不会受到伤害，并且恢复等于所受暗蚀伤害数值的生命值。,"多重攻击 Multiattack. 蔓生怪发动两次猛击。如果两次攻击都命中一个中型或更小体型的生物，则该生物受擒（逃脱DC 14），且蔓生怪可以对其使用吞没。

猛击 Slam. 近战武器攻击: 命中+7，触及5尺，单一目标。命中: 13 (2d8 + 4) 点钝击伤害。

吞没 Engulf. 蔓生怪淹没一个被其受擒的中型或更小体型生物。被吞没的生物陷入目盲，同时束缚且不能呼吸。目标生物必须在每个蔓生怪的回合开始成功通过一次DC 14的体质豁免，否则将受13（2d8 + 4）点钝击伤害。蔓生怪移动时，被吞没生物也会随之移动。蔓生怪体内每次只能有一个被吞没生物。",,,,,,,,
不死生物鲨蜥兽,WDMM,90,大型,亡灵,无阵营,17 (天生护甲),125 (9d10 + 45),"40 尺, 掘穴 40 尺",19,11,21,2,10,5,,察觉 +6,光耀,暗蚀,毒素,中毒,"黑暗视觉 60 尺, 颤动感知 60 尺, 被动察觉 16",—,"5 (XP 1,800; PB +3)",立定跳远 Standing Leap. 无论是否助跑，鲨蜥最远可以跳30尺，最高15尺。,"啃咬 Bite. 近战武器攻击: 命中+7，触及5尺，单一目标。命中: 30 (4d12 + 4) 点穿刺伤害。

致命一跃 Deadly Leap. 如果鲨蜥在移动中跳跃了至少15尺，则它可以用该动作四脚着陆在一处由一个或多个生物占据的空间。该空间内的每个生物必须进行一次DC 16的力量或敏捷豁免（目标自选）。豁免失败者将应击倒地，且受到14（3d6 + 4）点钝击伤害，外加14（3d6 + 4）点挥砍伤害。豁免成功则伤害减半，且不会因此倒地，而是从鲨蜥兽的位置被推出5尺，并选择并进入一处未被占据的位置。如果该范围内没有这样的位置，则该生物失足倒地于鲨蜥兽所处空间。",,,,,,,,
丧尸,MM'25,346,中型,亡灵,中立 邪恶,8,15 (2d8 + 6),20 尺,13,6,16,3,6,5,Wis +0,,,,毒素,"中毒, 力竭","黑暗视觉 60 尺, 被动察觉 8",理解通用语以及一门其他语言，但不会说,1/4 (XP 50; PB +2),不死坚韧 Undead Fortitude. 若伤害使丧尸的生命值降至 0 生命值，除非该伤害为光耀伤害或来自重击，否则丧尸进行一次体质豁免（DC 5加上所受伤害）。豁免成功则改为将生命值降至 1 生命值。,"猛击 Slam. 近战攻击检定: +3, 触及 5 尺。命中: 5 (1d8 + 1) 钝击伤害。",,,,,,,"位面, 堕影冥界, 城市, 幽暗地域",
主脑,MPMM,120,大型,异怪 (夺心魔),守序 邪恶,10,210 (20d10 + 100),"5 尺, 游泳 10 尺",15,10,20,21,19,24,"Int +10, Wis +9, Cha +12","奥秘 +10, 欺瞒 +12, 洞悉 +14, 威吓 +12, 游说 +12",,,,,"盲视 120 尺, 被动察觉 14","懂得通用语, 深潜语, 和理解深潜语但不会说, 心灵感应 5英里","14 (XP 11,500; PB +5)","传奇抗性 (3/日) Legendary Resistance. 如果主脑在一次豁免检定中失败，它可以选择改为成功。

心灵感应中枢 Telepathic Hub. 主脑可以用它的心灵感应同时与最多十个生物发起并维持心灵感应对话。主脑可以让这些生物在以此方式连接时互相心灵感应地听到对方。

生物感知 Creature Sense. 主脑能感知到5英里范围内智力属性为4或更高的生物。它知道每个生物的距离和方向，以及每个生物的智力属性值，但无法感知到其他任何信息。被心灵屏障法术、回避侦测法术或类似魔法保护的生物无法以这种方式被感知。

魔法抗性 Magic Resistance. 主脑在对抗法术及其他魔法效应时进行的豁免检定具有优势。","施法（灵能）. 主脑施展以下法术之一，无需法术成分并使用智力作为施法关键属性（法术豁免DC 18）：

随意: 侦测思想, 浮空术

3/日: 篡改记忆

每项1/日: 支配怪物, 位面转移（仅自身）

触须 Tentacle. 近战武器攻击: 命中+7，触及30尺，单一目标。命中: 20（4d8 + 2）钝击伤害。若目标为巨型或更小的生物，则其被受擒（逃脱DC 15）并在其每个回合开始时受到9（1d8 + 5）心灵伤害，直到擒抱结束。主脑可以同时受擒最多四个目标。

心灵震爆 (充能 5–6) Mind Blast. 主脑选择的其60尺内的生物必须成功通过一次DC 18的智力豁免否则受到32（5d10 + 5）心灵伤害并被震慑1分钟。目标可以在其每个回合结束时重复该豁免，成功则自身身上的该效应结束。","心灵链接 Psychic Link. 主脑以它的生物感知特性感知一个失能生物并与其建立心灵链接。直到链接结束，主脑可以感知目标所感知的一切。目标一旦不再失能就会意识到有东西与它的心灵相连，而主脑可以随时终止链接（无需动作）。目标可以在其回合使用一个动作尝试打破链接，通过成功的DC 18魅力豁免来做到这一点。豁免成功时，目标受到10（3d6）心灵伤害。如果目标与主脑相距超过5英里，链接也会结束。主脑一次最多可以与十个生物建立心灵链接。

感知思想 Sense Thoughts. 主脑以与其有心灵链接的生物为目标。主脑洞悉目标的情感状态和主要思想（包括担忧、爱和恨）。",,"打破专注 Break Concentration. 主脑以与其有心灵链接的120尺内的一个生物为目标。主脑打破该生物对其已施放法术的专注。该生物还会受到每个法术等级2（1d4）的心灵伤害。

心灵脉冲 Psychic Pulse. 主脑以120尺内一个与其有心灵链接的生物为目标。目标和主脑的敌人在目标30尺内受到10（3d6）心灵伤害。

切断心灵链接 Sever Psychic Link. 主脑以120英尺内一个与其有心灵链接的生物为目标。主脑切断该链接，使该生物在所有属性检定、攻击检定和豁免检定中具有劣势，直到该生物的下个回合结束。

触手（消耗2个动作） Tentacle. 主脑进行一次触须攻击。",,"在先攻计数20（如果先攻平手则输掉）时，长老脑可以采取以下巢穴行动之一；长老脑不能连续两轮采取相同的巢穴行动：

力场障壁. 长老脑组织施放了力场墙法术。

灵能锚定. 长老之脑锁定它能够感知的120尺范围内的一个生物，并以意志力将其锚定。目标必须进行一次DC 18魅力豁免检定。豁免失败时，其速度降为0，且不能使用传送。它可在每个回合结束时重复豁免检定，成功则结束此效果。

心灵激励. 长老脑组织针对它能感受到的120尺范围内的一个友方生物。目标获得灵感一闪，在其下一个回合结束前进行的一次攻击检定、属性检定或豁免检定中获得优势。","长老脑周围5英里内的领土因这种生物的灵能存在而发生了变化，从而产生了以下一个或多个效果：

被害妄想. 在长老脑周围5英里内的生物感觉好像被跟踪，即使没有。

心灵低语. 与长老脑形成心灵链接的任何生物都能在其意识的最深处听到微弱、难以理解的低语。这些心灵碎片由长老脑的杂念与其他与之链接的生物的思想混合而成。

心感窃听. 长者之脑可以窃听它周围5英里内任何心灵感应的对话。当首次建立心灵感应联系时，发起心灵感应的生物进行一次DC 18的感知豁免检定。如果检定成功，生物会意识到有东西在偷听。偷听者的性质不会被揭示。

如果长老脑组织死亡，这些效果会立即结束。",幽暗地域,
乌鸦,WDMM,302,微型,野兽,无阵营,12,1 (1d4 - 1),"10 尺, 飞行 50 尺",2,14,8,2,12,6,,察觉 +3,,,,,被动察觉 13,—,0 (XP 10; PB +2),拟声 Mimicry. 乌鸦可以模仿听到的简单声音，比如人的低语声、婴儿的哭声、动物的交谈声等。听到该声音的生物可以进行一次DC 10的感知（洞悉）检定，检定成功则发现其是模仿的声音。,喙啄 Beak. 近战武器攻击: 命中+4，触及5尺，单一目标。命中: 造成1点穿刺伤害。,,,,,,,,
乘用马,MM'25,368,大型,野兽,无阵营,11,13 (2d10 + 2),60 尺,16,13,12,2,11,7,,,,,,,被动察觉 10,—,1/4 (XP 50; PB +2),,蹄击 Hooves. 近战攻击检定: +5，触及5尺。命中: 7（1d8 + 3）钝击伤害。,,,,,,,"城市, 草地",
云巨人,MM'25,74,巨型,巨人,中立,14,200 (16d12 + 96),"40 尺, 飞行 20 尺 (悬浮)",27,10,22,12,16,16,"Con +10, Wis +7","洞悉 +7, 察觉 +11",,,,,被动察觉 21,"通用语, 巨人语","9 (XP 5,000; PB +4)",,"多重攻击 Multiattack. 云巨人发动两次攻击，可使用雷鸣重锤或雷云任意组合。其可以将其中一次攻击替换为使用施法施展云雾术。

雷鸣重锤 Thunderous Mace. 近战攻击检定:： +12，触及 10 尺。命中: ：21（ 3d8 + 8 ）钝击伤害外加 7（ 2d6 ）雷鸣伤害。

施法. 云巨人施展以下一道法术，无需材料成分并使用魅力作为施法属性（法术豁免DC 15）：

随意: 侦测魔法, 云雾术, 光亮术

每项1/日: 操控天气, 气化形体, 心灵遥控

雷云 Thundercloud. 远程攻击检定: ：+12，射程 240 尺。命中: ：18（3d6 + 8）雷鸣伤害，且目标陷入失能状态直至其下个回合结束。",迷踪步. 云巨人施展迷踪步法术，使用与施法动作相同的施法属性。,,,,,,山地,奥秘
云巨人欢笑者,MPMM,81,巨型,巨人,混乱 中立,15 (天生护甲),250 (20d12 + 120),"40 尺, 飞行 40 尺 (悬浮)",26,12,22,15,16,17,"Con +10, Int +6, Cha +7","欺瞒 +11, 洞悉 +7, 察觉 +11, 巧手 +9",,,,,被动察觉 21,"通用语, 巨人语","11 (XP 7,200; PB +4)",操纵天气（8环法术） Control Weather. 巨人可以施放操控天气法术，无需材料成分，且以魅力作为施法属性。,"多重攻击 Multiattack. 巨人进行两次猛击攻击或两次念力打击攻击。

猛击 Slam. 近战武器攻击: 命中+12，触及10尺，单一目标。命中: 21（3d8 + 8）钝击伤害加上5（1d10）心灵伤害。

念力打击 Telekinetic Strike. 远程法术攻击: 命中+7，射程240尺，单一目标。命中: 25（4d10 + 3）力场伤害。

变形 Change Shape. 巨人如魔法般变形成它看到的野兽或者类人生物，或者回到他的真实形态。巨人穿着或携带的任何装备都会被新形态吸收。他的数据，除了它的体型外，在每种形态下都是相同的。如果他死了，它变回其真实形态。

施法. 巨人施展以下法术之一，无需材料成分，且以魅力为其施法属性（法术豁免DC 15）：

随意: 侦测魔法, 云雾术, 光亮术, 次级幻象

每项3/日: 隐形术, 无声幻影, 暗示术, 巧言术

每项1/日: 气化形体, 高等幻影",腾云步 (充能 4–6) Cloud Step. 巨人传送，连同其穿着或携带的所有装备，至多60尺至一处其可见的未占据空间中。,,,,,,山地,
